ZHD|D0265001|R|TEST|G|CAPG|20151002185531
DIS|TEST
LLF|222
SDT|20120201
SPL|1|1.030
SPL|2|1.030
SPL|3|1.050
SPL|4|1.050
SPL|5|1.030
SPL|6|1.030
SPL|7|1.030
SPL|8|1.030
SPL|9|1.030
SPL|10|1.030
SPL|11|1.030
SPL|12|1.030
SPL|13|1.030
SPL|14|1.030
SPL|15|1.035
SPL|16|1.035
SPL|17|1.035
SPL|18|1.035
SPL|19|1.035
SPL|20|1.035
SPL|21|1.035
SPL|22|1.035
SPL|23|1.035
SPL|24|1.035
SPL|25|1.035
SPL|26|1.035
SPL|27|1.035
SPL|28|1.035
SPL|29|1.035
SPL|30|1.035
SPL|31|1.035
SPL|32|1.035
SPL|33|1.035
SPL|34|1.035
SPL|35|1.035
SPL|36|1.035
SPL|37|1.035
SPL|38|1.035
SPL|39|1.035
SPL|40|1.035
SPL|41|1.035
SPL|42|1.035
SPL|43|1.035
SPL|44|1.035
SPL|45|1.035
SPL|46|1.035
SPL|47|1.040
SPL|48|1.040
SDT|20120202
SPL|1|1.029
SPL|2|1.029
SPL|3|1.076
SPL|4|1.030
SPL|5|1.030
SPL|6|1.030
SPL|7|1.030
SPL|8|1.030
SPL|9|1.030
SPL|10|1.030
SPL|11|1.030
SPL|12|1.030
SPL|13|1.030
SPL|14|1.030
SPL|15|1.035
SPL|16|1.035
SPL|17|1.035
SPL|18|1.035
SPL|19|1.035
SPL|20|1.035
SPL|21|1.035
SPL|22|1.035
SPL|23|1.035
SPL|24|1.035
SPL|25|1.035
SPL|26|1.035
SPL|27|1.035
SPL|28|1.035
SPL|29|1.035
SPL|30|1.035
SPL|31|1.035
SPL|32|1.035
SPL|33|1.035
SPL|34|1.035
SPL|35|1.035
SPL|36|1.035
SPL|37|1.035
SPL|38|1.035
SPL|39|1.035
SPL|40|1.035
SPL|41|1.035
SPL|42|1.035
SPL|43|1.035
SPL|44|1.035
SPL|45|1.035
SPL|46|1.035
SPL|47|1.050
SPL|48|1.050
SDT|20120203
SPL|1|1.030
SPL|2|1.030
SPL|3|1.076
LLF|999
SDT|20120201
SPL|1|1.034
SPL|2|1.034
SPL|3|1.081
SPL|4|1.081
SPL|5|1.030
SPL|6|1.030
SPL|7|1.030
SPL|8|1.030
SPL|9|1.030
SPL|10|1.030
SPL|11|1.030
SPL|12|1.030
SPL|13|1.030
SPL|14|1.030
SPL|15|1.035
SPL|16|1.035
SPL|17|1.035
SPL|18|1.035
SPL|19|1.035
SPL|20|1.035
SPL|21|1.035
SPL|22|1.035
SPL|23|1.035
SPL|24|1.035
SPL|25|1.035
SPL|26|1.035
SPL|27|1.035
SPL|28|1.035
SPL|29|1.035
SPL|30|1.035
SPL|31|1.035
SPL|32|1.035
SPL|33|1.035
SPL|34|1.035
SPL|35|1.035
SPL|36|1.035
SPL|37|1.035
SPL|38|1.035
SPL|39|1.035
SPL|40|1.035
SPL|41|1.035
SPL|42|1.035
SPL|43|1.035
SPL|44|1.035
SPL|45|1.035
SPL|46|1.035
SPL|47|1.035
SPL|48|1.035
